player_name,match_date,opponent_team,venue,runs_scored,balls_faced,strike_rate,fours,sixes
AB de Villiers,2015-04-01,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",68,45,151.11,5,2
Sanju Samson,2015-04-01,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",34,29,117.24,2,1
AB de Villiers,2015-04-01,Royal Challengers Bangalore,"IS Bindra Stadium, Mohali",36,18,200.0,4,1
Jos Buttler,2015-04-01,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",55,35,157.14,6,3
Faf du Plessis,2015-04-04,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",29,20,145.0,2,2
KL Rahul,2015-04-04,Delhi Capitals,"M.A. Chidambaram Stadium, Chennai",4,7,57.14,0,0
Kieron Pollard,2015-04-07,Delhi Capitals,"Eden Gardens, Kolkata",8,4,200.0,0,0
AB de Villiers,2015-04-22,Punjab Kings,"DY Patil Stadium, Mumbai",50,33,151.52,7,1
Quinton de Kock,2015-04-22,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",15,16,93.75,1,0
Faf du Plessis,2015-04-25,Chennai Super Kings,"M.A. Chidambaram Stadium, Chennai",30,17,176.47,4,0
Shubman Gill,2015-04-25,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",35,30,116.67,2,2
Rishabh Pant,2015-04-28,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",48,31,154.84,5,3
Dinesh Karthik,2015-04-28,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",42,24,175.0,2,3
David Warner,2015-05-01,Mumbai Indians,"Eden Gardens, Kolkata",46,37,124.32,6,4
Dinesh Karthik,2015-05-01,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad",29,25,116.0,2,0
Shubman Gill,2015-05-04,Royal Challengers Bangalore,"M.A. Chidambaram Stadium, Chennai",31,19,163.16,3,1
Ishan Kishan,2015-05-07,Sunrisers Hyderabad,"M.A. Chidambaram Stadium, Chennai",28,20,140.0,3,2
Shubman Gill,2015-05-07,Chennai Super Kings,"IS Bindra Stadium, Mohali",16,14,114.29,1,0
KL Rahul,2015-05-07,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",68,51,133.33,3,4
Ambati Rayudu,2015-05-10,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",27,16,168.75,2,2
Ambati Rayudu,2015-05-10,Kolkata Knight Riders,"M.A. Chidambaram Stadium, Chennai",2,1,200.0,0,0
MS Dhoni,2015-05-10,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",29,22,131.82,3,1
Suresh Raina,2015-05-10,Kolkata Knight Riders,"DY Patil Stadium, Mumbai",51,42,121.43,6,3
Suresh Raina,2015-05-16,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",25,17,147.06,2,1
Suresh Raina,2015-05-19,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",26,18,144.44,3,0
David Warner,2015-05-25,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",37,29,127.59,5,1
Sanju Samson,2015-05-25,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",70,50,140.0,5,1
Kieron Pollard,2015-05-25,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",55,30,183.33,4,3
Kieron Pollard,2015-05-28,Mumbai Indians,"M. Chinnaswamy Stadium, Bangalore",14,13,107.69,1,0
Jos Buttler,2015-05-28,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad",36,24,150.0,2,2
Quinton de Kock,2015-05-31,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",39,33,118.18,4,1
Quinton de Kock,2015-05-31,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",17,13,130.77,2,1
Rishabh Pant,2015-06-06,Mumbai Indians,"Eden Gardens, Kolkata",63,45,140.0,4,4
KL Rahul,2015-06-06,Mumbai Indians,"Arun Jaitley Stadium, Delhi",48,40,120.0,5,3
Quinton de Kock,2015-06-12,Sunrisers Hyderabad,"DY Patil Stadium, Mumbai",55,40,137.5,2,5
MS Dhoni,2015-06-12,Mumbai Indians,"IS Bindra Stadium, Mohali",11,6,183.33,0,0
Quinton de Kock,2015-06-15,Rajasthan Royals,"Wankhede Stadium, Mumbai",37,29,127.59,3,2
Suresh Raina,2015-06-15,Royal Challengers Bangalore,"IS Bindra Stadium, Mohali",14,9,155.56,1,1
Hardik Pandya,2015-06-18,Rajasthan Royals,"IS Bindra Stadium, Mohali",21,14,150.0,1,0
Sanju Samson,2015-06-18,Rajasthan Royals,"IS Bindra Stadium, Mohali",52,39,133.33,6,3
Jos Buttler,2015-06-18,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",69,46,150.0,5,4
Dinesh Karthik,2015-06-18,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",3,2,150.0,0,0
Kieron Pollard,2015-06-21,Sunrisers Hyderabad,"M.A. Chidambaram Stadium, Chennai",64,45,142.22,6,5
Ambati Rayudu,2015-06-21,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad",7,2,350.0,0,0
Hardik Pandya,2015-06-21,Mumbai Indians,"DY Patil Stadium, Mumbai",44,27,162.96,4,4
Suresh Raina,2015-06-24,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",19,12,158.33,1,1
KL Rahul,2015-06-24,Chennai Super Kings,"DY Patil Stadium, Mumbai",85,60,141.67,6,1
Virat Kohli,2015-06-27,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",42,32,131.25,2,2
